lhs	op	rhs	block	group	label	est	se	z	pvalue	std.lv	std.all	std.nox
Belong	=~	sbvalued	1	1		1	0	NA	NA	0.643012543631599	0.857162799974315	0.857162799974315
Belong	=~	sbmyself	1	1		1.03176190350403	0.0214529535482505	48.0941657372942	0	0.663435845994308	0.839956371401459	0.839956371401459
Belong	=~	sbcommunity	1	1		1.02723871508254	0.0194987940285265	52.682166578082	0	0.660527379102082	0.892681770377291	0.892681770377291
Gains	=~	pganalyze	1	1		1	0	NA	NA	0.518469302189706	0.720657378237154	0.720657378237154
Gains	=~	pgthink	1	1		1.01150895687227	0.031216543248688	32.4029777677188	0	0.524436343028202	0.785161286679626	0.785161286679626
Gains	=~	pgwork	1	1		0.957781001644258	0.0299693570821322	31.9586769585821	0	0.496580047573056	0.726555900080737	0.726555900080737
Gains	=~	pgvalues	1	1		0.97014237604691	0.0307781390346505	31.5205014492497	0	0.502989040733704	0.708217524771538	0.708217524771538
Gains	=~	pgprobsolve	1	1		1.03393765511283	0.0314266550287838	32.9000224225531	0	0.536064934554008	0.774452582318059	0.774452582318059
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	0.592099105827449	0.813734754550531	0.813734754550531
SupportEnv	=~	SEwellness	1	1		1.00006950485675	0.0249944853872344	40.0116061348285	0	0.592140259590981	0.810985636282884	0.810985636282884
SupportEnv	=~	SEnonacad	1	1		0.990754093099227	0.0272896377760475	36.305139013931	0	0.586624612618937	0.752630954841045	0.752630954841045
SupportEnv	=~	SEactivities	1	1		1.03052486577347	0.0266228614027098	38.7082684383647	0	0.610172851557424	0.755718346411044	0.755718346411044
SupportEnv	=~	SEdiverse	1	1		1.02724963764664	0.0264886286236513	38.7807784329548	0	0.608233591912149	0.780180060919806	0.780180060919806
Satisf	=~	sameinst	1	1		1	0	NA	NA	0.560704724938214	0.855827085837145	0.855827085837145
Satisf	=~	evalexp	1	1		1.02228116157807	0.0437144079117999	23.3854513971839	0	0.573197877512147	0.86009403427489	0.86009403427489
DevAdj	=~	Belong	1	1		1	0	NA	NA	0.443092908046045	0.443092908046045	0.443092908046045
DevAdj	=~	Gains	1	1		0.595700850638573	0.0589549508870914	10.1043396979405	0	0.32735533016542	0.32735533016542	0.32735533016542
DevAdj	=~	SupportEnv	1	1		0.934341540268209	0.0723855547266904	12.9078452710081	0	0.449599165569122	0.449599165569122	0.449599165569122
DevAdj	=~	Satisf	1	1		0.985865526014604	0.0762495986864796	12.9294519970951	0	0.500953838345988	0.500953838345988	0.500953838345988
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	0.965124769743957	0.898470671563386	0.898470671563386
EmoDiss	=~	MHWdlonely	1	1		0.996284991515451	0.0147524160887059	67.5336829929969	0	0.96153932303571	0.921739574897202	0.921739574897202
EmoDiss	=~	MHWdmental	1	1		1.01130387479378	0.013865163268861	72.9384757455403	0	0.976034419301516	0.941063978309221	0.941063978309221
EmoDiss	=~	MHWdexhaust	1	1		0.997346843927777	0.0143451242367921	69.5251450921422	0	0.962564143100658	0.930815059644301	0.930815059644301
EmoDiss	=~	MHWdsleep	1	1		0.999345614131382	0.0145969382362681	68.4626870344887	0	0.964493205733183	0.917286645974365	0.917286645974365
EmoDiss	=~	MHWdfinancial	1	1		0.981408003644495	0.0170569810948764	57.5370282810065	0	0.947181173542269	0.844926880437253	0.844926880437253
QualEngag	=~	QIadmin	1	1		1	0	NA	NA	0.98621461003636	0.89452761672669	0.89452761672669
