lhs	op	rhs	block	group	label	est	se	z	pvalue	std.lv	std.all	std.nox
W5__ind_EmoDiss_z_high_g1	:=	W5__a1_z_high_g1*W5__b1_g1	0	0	W5__ind_EmoDiss_z_high_g1	-0.0626581411933053	0.0674884024455466	-0.928428276900782	0.353185456265443	-0.196618082676592	-0.151654469074017	-0.196618082676592
W5__ind_EmoDiss_z_high_g2	:=	W5__a1_z_high_g2*W5__b1_g2	0	0	W5__ind_EmoDiss_z_high_g2	-0.0532889970137848	0.0346501173539666	-1.53791678306349	0.124068963167678	-0.278023667602902	-0.24029832402592	-0.278023667602902
W5__ind_EmoDiss_z_high_g3	:=	W5__a1_z_high_g3*W5__b1_g3	0	0	W5__ind_EmoDiss_z_high_g3	-0.104785177839107	0.0510151763222434	-2.0540001112065	0.0399756809468141	-0.454853632503041	-0.442580377979445	-0.454853632503041
W5__ind_QualEngag_z_low_g1	:=	W5__a2_z_low_g1*W5__b2_g1	0	0	W5__ind_QualEngag_z_low_g1	-0.0145226122410627	0.0211167538585986	-0.687729389578936	0.491623208862326	-0.0455712237853367	-0.0381762104586188	-0.0455712237853367
W5__ind_QualEngag_z_low_g2	:=	W5__a2_z_low_g2*W5__b2_g2	0	0	W5__ind_QualEngag_z_low_g2	0.00241434648708272	0.0102329240793902	0.23593905987687	0.813479958319628	0.0125963238720609	0.154296449513399	0.0125963238720609
W5__ind_QualEngag_z_low_g3	:=	W5__a2_z_low_g3*W5__b2_g3	0	0	W5__ind_QualEngag_z_low_g3	0.0069819270195428	0.0176992336035976	0.394476234164378	0.693229470068102	0.0303072908993521	0.00654516385476887	0.0303072908993521
W5__ind_QualEngag_z_mid_g1	:=	W5__a2_z_mid_g1*W5__b2_g1	0	0	W5__ind_QualEngag_z_mid_g1	-0.00835696920102021	0.0249609614336666	-0.334801574980545	0.737774772352814	-0.0262237473056012	-0.013090460611469	-0.0262237473056012
W5__ind_QualEngag_z_mid_g2	:=	W5__a2_z_mid_g2*W5__b2_g2	0	0	W5__ind_QualEngag_z_mid_g2	-0.0261333330779526	0.0128847898917035	-2.02823121662076	0.0425366553074766	-0.136344940159807	-0.0681632877284249	-0.136344940159807
W5__ind_QualEngag_z_mid_g3	:=	W5__a2_z_mid_g3*W5__b2_g3	0	0	W5__ind_QualEngag_z_mid_g3	0.00906990871844996	0.0222933748218719	0.406843234410231	0.6841231303704	0.0393708443515976	0.0196781120284742	0.0393708443515976
W5__ind_QualEngag_z_high_g1	:=	W5__a2_z_high_g1*W5__b2_g1	0	0	W5__ind_QualEngag_z_high_g1	-0.00219132616097774	0.0539996760930285	-0.0405803575044156	0.967630443696734	-0.0068762708258657	0.0119952892356807	-0.0068762708258657
W5__ind_QualEngag_z_high_g2	:=	W5__a2_z_high_g2*W5__b2_g2	0	0	W5__ind_QualEngag_z_high_g2	-0.054681012642988	0.0284264770328732	-1.92359442148788	0.0544054408500814	-0.285286204191675	-0.290623024970249	-0.285286204191675
W5__ind_QualEngag_z_high_g3	:=	W5__a2_z_high_g3*W5__b2_g3	0	0	W5__ind_QualEngag_z_high_g3	0.0111578904173571	0.049338256455169	0.226150886128205	0.821084068203248	0.048434397803843	0.0328110602021795	0.048434397803843
W5__total_z_low_g1	:=	W5__dir_z_low_g1+W5__ind_EmoDiss_z_low_g1+W5__ind_QualEngag_z_low_g1	0	0	W5__total_z_low_g1	0.00163196421801917	0.0631478251719059	0.0258435538132392	0.979382122518218	0.00512102129799565	0.287123613549586	0.00512102129799565
W5__total_z_low_g2	:=	W5__dir_z_low_g2+W5__ind_EmoDiss_z_low_g2+W5__ind_QualEngag_z_low_g2	0	0	W5__total_z_low_g2	0.0203664653405804	0.0332630897161072	0.612284231994187	0.540349720244443	0.10625757111981	0.417841016153187	0.10625757111981
W5__total_z_low_g3	:=	W5__dir_z_low_g3+W5__ind_EmoDiss_z_low_g3+W5__ind_QualEngag_z_low_g3	0	0	W5__total_z_low_g3	0.122236491954489	0.0587099670816846	2.08203986529951	0.0373388285291938	0.530606651976094	0.308601455684088	0.530606651976094
W5__total_z_mid_g1	:=	W5__dir_z_mid_g1+W5__ind_EmoDiss_z_mid_g1+W5__ind_QualEngag_z_mid_g1	0	0	W5__total_z_mid_g1	-0.112093854128583	0.0732113260002815	-1.53109990287775	0.125744703839221	-0.351744853244166	-0.175585208819345	-0.351744853244166
W5__total_z_mid_g2	:=	W5__dir_z_mid_g2+W5__ind_EmoDiss_z_mid_g2+W5__ind_QualEngag_z_mid_g2	0	0	W5__total_z_mid_g2	-0.0499845682564485	0.0450408204928301	-1.10976149434057	0.267101816072147	-0.260783534481059	-0.130374204388027	-0.260783534481059
