lhs	op	rhs	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all	std.nox
Belong	=~	sbvalued		1	0	NA	NA	1	1	0.515988200886611	0.698913718814163	0.698913718814163
Belong	=~	sbmyself		0.966352688682461	0.0317144501031767	30.4704223323634	0	0.904193508690742	1.02851186867418	0.498626585255202	0.703415068945986	0.703415068945986
Belong	=~	sbcommunity		1.13494983937437	0.0373480112566971	30.3884946262261	0	1.06174908241705	1.2081505963317	0.58562072571533	0.740106655447755	0.740106655447755
Gains	=~	pganalyze		1	0	NA	NA	1	1	0.39784966972988	0.633329424014263	0.633329424014263
Gains	=~	pgthink		0.676137489424365	0.0365348487688596	18.5066453593937	0	0.604530501656783	0.747744477191948	0.269001076859474	0.466356670159447	0.466356670159447
Gains	=~	pgwork		0.77312379548549	0.0380393468483162	20.324318358261	0	0.698568045667363	0.847679545303617	0.307587046694213	0.526089091928746	0.526089091928746
Gains	=~	pgvalues		0.760797313930012	0.0410829239665233	18.5185775615668	0	0.680276262576029	0.841318365283995	0.302682960078435	0.523712365486006	0.523712365486006
Gains	=~	pgprobsolve		0.897906052487321	0.0418474817446447	21.4566328737864	0	0.81588649542412	0.979925609550522	0.357231626430541	0.589606549116591	0.589606549116591
SupportEnv	=~	SEacademic		1	0	NA	NA	1	1	0.291750771462436	0.55630838106254	0.55630838106254
SupportEnv	=~	SEwellness		1.26038487270747	0.0559165363050374	22.5404675610052	0	1.15079047540937	1.36997927000557	0.367718258951988	0.618747427055018	0.618747427055018
SupportEnv	=~	SEnonacad		1.29462156300691	0.0566134195147795	22.8677506870776	0	1.18366129971629	1.40558182629754	0.377706839759172	0.619686384586265	0.619686384586265
SupportEnv	=~	SEactivities		1.43300434868421	0.0604837093681262	23.6924018658052	0	1.3144584566713	1.55155024069713	0.418080124237646	0.668065644624698	0.668065644624698
SupportEnv	=~	SEdiverse		1.11049571512364	0.0526670882074264	21.0851929149758	0	1.00727011906649	1.21372131118079	0.323987981593051	0.558870942827076	0.558870942827076
Satisf	=~	sameinst		1	0	NA	NA	1	1	0.45247795532259	0.691467113836614	0.691467113836614
Satisf	=~	evalexp		1.1555983388099	0.0841332783800311	13.7353299557643	0	0.990700143283758	1.32049653433604	0.522882773518886	0.753386090683093	0.753386090683093
DevAdj	=~	Belong		1	0	NA	NA	1	1	0.458654294952606	0.458654294952606	0.458654294952606
DevAdj	=~	Gains		1.03963634530621	0.109186874465356	9.52162382517938	0	0.825634003769613	1.2536386868428	0.618425925133049	0.618425925133049	0.618425925133049
DevAdj	=~	SupportEnv		0.48230232876731	0.05135845818776	9.39090357822024	0	0.381641600417794	0.582963057116826	0.3912303887864	0.3912303887864	0.3912303887864
DevAdj	=~	Satisf		1.1189101710921	0.113808633814835	9.83150516429668	0	0.89584934768532	1.34197099449889	0.585225217653562	0.585225217653562	0.585225217653562
EmoDiss	=~	MHWdacad		1	0	NA	NA	1	1	0.7927266865665	0.53757670565832	0.53757670565832
EmoDiss	=~	MHWdlonely		0.898812680500262	0.0428010168971268	20.9997973333339	0	0.814924228880203	0.982701132120321	0.712512798056927	0.497700102470898	0.497700102470898
EmoDiss	=~	MHWdmental		1.18313064359561	0.0477908848035854	24.7564080150039	0	1.08946223059128	1.27679905659994	0.93789923487284	0.627478258930208	0.627478258930208
EmoDiss	=~	MHWdexhaust		1.03114091679169	0.0468857175618315	21.9926444643159	0	0.939246598981184	1.1230352346022	0.817412922351421	0.55818311993327	0.55818311993327
EmoDiss	=~	MHWdsleep		1.06397518071546	0.0459393610263362	23.160426199779	0	0.973935687631062	1.15401467379987	0.843441519597563	0.58650734457262	0.58650734457262
EmoDiss	=~	MHWdfinancial		1.10146487795988	0.0490046869753559	22.4767251041477	0	1.00541745641452	1.19751229950524	0.873160603074512	0.581055331983099	0.581055331983099
QualEngag	=~	QIadmin		1	0	NA	NA	1	1	1.05781876116344	0.734197618841007	0.734197618841007
QualEngag	=~	QIstudent		0.860725229930716	0.0247878843566073	34.7236261694632	0	0.812141869338822	0.90930859052261	0.91049129642743	0.684486641119822	0.684486641119822
QualEngag	=~	QIadvisor		0.924368711171178	0.0249948874644358	36.9823113821347	0	0.875379631943252	0.973357790399104	0.977814564909345	0.714438126126234	0.714438126126234
QualEngag	=~	QIfaculty		0.891745533374384	0.0249366572780091	35.7604278485548	0	0.842870583214668	0.940620483534101	0.943305155387125	0.691912399800205	0.691912399800205
QualEngag	=~	QIstaff		0.87487589860638	0.0250909477106333	34.8681886669277	0	0.825698544755561	0.924053252457199	0.925460139235555	0.695773121084641	0.695773121084641
DevAdj	~	x_FASt	c_total	-0.0847887658296164	0.0130032116880504	-6.52060182235861	7.00257629659973e-11	-0.110274592421545	-0.0593029392376873	-0.358272173453818	-0.179136086726909	-0.358272173453818
sbvalued	~~	sbvalued		0.278801240576815	0.0102129442262768	27.2988116256906	0	0.258784237717196	0.298818243436434	0.278801240576815	0.511519613653357	0.511519613653357
sbmyself	~~	sbmyself		0.253861645581647	0.00913049132718031	27.8037223282752	0	0.235966211419218	0.271757079744075	0.253861645581647	0.505207240779714	0.505207240779714
sbcommunity	~~	sbcommunity		0.283149164032919	0.0121354542603453	23.332391022078	0	0.259364110746609	0.306934217319229	0.283149164032919	0.452242138561937	0.452242138561937
pganalyze	~~	pganalyze		0.23633525913098	0.00825157215518777	28.6412400796127	0	0.220162474890979	0.252508043370982	0.23633525913098	0.598893840677761	0.598893840677761
pgthink	~~	pgthink		0.260352862000191	0.00766671811067191	33.9588410897468	0	0.245326370623653	0.275379353376729	0.260352862000191	0.782511456197792	0.782511456197792
pgwork	~~	pgwork		0.247225966501519	0.007167882681695	34.4907942108027	0	0.233177174599988	0.261274758403049	0.247225966501519	0.723230267353588	0.723230267353588
pgvalues	~~	pgvalues		0.242416729023678	0.00756827364367373	32.0306506393716	0	0.227583185256933	0.257250272790422	0.242416729023678	0.725725358237052	0.725725358237052
pgprobsolve	~~	pgprobsolve		0.239477805121032	0.00787183544917185	30.4221050690568	0	0.22404929114843	0.254906319093635	0.239477805121032	0.652364117238824	0.652364117238824
SEacademic	~~	SEacademic		0.189919562849718	0.00519862028272983	36.5326860822368	0	0.179730454326268	0.200108671373168	0.189919562849718	0.690520985159575	0.690520985159575
SEwellness	~~	SEwellness		0.217969361862047	0.0064574577184321	33.7546711672425	0	0.20531297730223	0.230625746421864	0.217969361862047	0.617151621512795	0.617151621512795
SEnonacad	~~	SEnonacad		0.228843507448403	0.00723725676195813	31.6202001635888	0	0.214658744848096	0.243028270048709	0.228843507448403	0.615988784758404	0.615988784758404
SEactivities	~~	SEactivities		0.216843349838216	0.00715514805169312	30.3059207540652	0	0.202819517352846	0.230867182323586	0.216843349838216	0.553688294472187	0.553688294472187
SEdiverse	~~	SEdiverse		0.231105652580545	0.00642003111077439	35.9975907581964	0	0.218522622823801	0.24368868233729	0.231105652580545	0.687663269263575	0.687663269263575
sameinst	~~	sameinst		0.223468755814394	0.0150314259915294	14.8667701880264	0	0.194007702234718	0.252929809394071	0.223468755814394	0.521873230482462	0.521873230482462
evalexp	~~	evalexp		0.20829008507661	0.019119425716356	10.8941601158253	0	0.170816699267464	0.245763470885757	0.20829008507661	0.432409398365247	0.432409398365247
MHWdacad	~~	MHWdacad		1.54611775806572	0.0414307688110516	37.3181044531641	0	1.46491494334425	1.62732057278718	1.54611775806572	0.711011285533548	0.711011285533548
MHWdlonely	~~	MHWdlonely		1.54183474329575	0.0371048485487169	41.5534573944264	0	1.46911057648845	1.61455891010305	1.54183474329575	0.752294608000457	0.752294608000457
MHWdmental	~~	MHWdmental		1.35450875715708	0.041989325097742	32.2584074405595	0	1.27221119223036	1.43680632208379	1.35450875715708	0.606271034569914	0.606271034569914
MHWdexhaust	~~	MHWdexhaust		1.47635364419335	0.0425956438732551	34.6597330136926	0	1.39286771630348	1.55983957208323	1.47635364419335	0.688431604621561	0.688431604621561
MHWdsleep	~~	MHWdsleep		1.35666596177968	0.0384195367550834	35.311877142823	0	1.281365053437	1.43196687012236	1.35666596177968	0.656009134762374	0.656009134762374
MHWdfinancial	~~	MHWdfinancial		1.49574313870399	0.0414478683715634	36.0873356693582	0	1.41450680945976	1.57697946794821	1.49574313870399	0.66237470117401	0.66237470117401
QIadmin	~~	QIadmin		0.956872426459938	0.0321681446456169	29.7459625664273	0	0.893824021505054	1.01992083141482	0.956872426459938	0.460953856488195	0.460953856488195
QIstudent	~~	QIstudent		0.940387759058348	0.0301955548930616	31.1432514616393	0	0.881205558974745	0.999569959141951	0.940387759058348	0.531478038128504	0.531478038128504
QIadvisor	~~	QIadvisor		0.917076991840939	0.0294326511572022	31.1584908523108	0	0.859390055603291	0.974763928078586	0.917076991840939	0.489578163937235	0.489578163937235
QIfaculty	~~	QIfaculty		0.9688449529577	0.0304052999202841	31.8643445549886	0	0.909251660174805	1.0284382457406	0.9688449529577	0.521257231002721	0.521257231002721
QIstaff	~~	QIstaff		0.912736610085795	0.0280352636661283	32.556733582233	0	0.8577885030031	0.967684717168491	0.912736610085795	0.515899763976138	0.515899763976138
Belong	~~	Belong		0.21023577106897	0.0126235567426736	16.6542421723566	0	0.185494054496532	0.234977487641408	0.789636237721528	0.789636237721528	0.789636237721528
Gains	~~	Gains		0.0977484074271098	0.00826066199735545	11.8329992751674	0	0.0815578074238345	0.113939007430385	0.617549375123332	0.617549375123332	0.617549375123332
SupportEnv	~~	SupportEnv		0.0720901695042928	0.00511353796608238	14.0979044220381	0	0.0620678192571931	0.0821125197513924	0.846938782890042	0.846938782890042	0.846938782890042
Satisf	~~	Satisf		0.134616460414423	0.0126513570969821	10.6404759096188	0	0.109820256148783	0.159412664680063	0.657511444622341	0.657511444622341	0.657511444622341
DevAdj	~~	DevAdj		0.0542107686825038	0.00723301251932036	7.49490873100239	6.63913368725844e-14	0.0400343246449085	0.068387212720099	0.967910262432169	0.967910262432169	0.967910262432169
EmoDiss	~~	EmoDiss		0.628415599594703	0.0415469070977959	15.125448402585	0	0.546985158013991	0.709846041175414	1	1	1
QualEngag	~~	QualEngag		1.11898053146936	0.0492191565260526	22.7346547655092	0	1.02251275732886	1.21544830560986	1	1	1
EmoDiss	~~	QualEngag		-0.230493787900391	0.0200519600050895	-11.4948258345762	0	-0.269794907329804	-0.191192668470978	-0.274868189079045	-0.274868189079045	-0.274868189079045
x_FASt	~~	x_FASt		0.25	0	NA	NA	0.25	0.25	0.25	1	0.25
sbvalued	~1			2.81638012931328	0.0138400074118358	203.49556510387	0	2.78925421324031	2.84350604538625	2.81638012931328	3.81482891738685	3.81482891738685
sbmyself	~1			2.89619745200306	0.0130830660286159	221.369933138636	0	2.87055511377962	2.92183979022651	2.89619745200306	4.08568052852467	4.08568052852467
sbcommunity	~1			2.55301453933539	0.0149609438343045	170.645285993353	0	2.52369162824542	2.58233745042535	2.55301453933539	3.22649620999837	3.22649620999837
pganalyze	~1			2.85981712046185	0.0116859058495988	244.723614691798	0	2.83691316586991	2.88272107505379	2.85981712046185	4.55248921261629	4.55248921261629
pgthink	~1			2.80756146199321	0.0106362113544254	263.962549110599	0	2.78671487080658	2.82840805317984	2.80756146199321	4.86735975174975	4.86735975174975
pgwork	~1			2.7720699051002	0.0108939778757892	254.458925537279	0	2.75071810081528	2.79342170938512	2.7720699051002	4.74127813511922	4.74127813511922
pgvalues	~1			2.77303418953992	0.0105720229900604	262.299296184569	0	2.75231340523567	2.79375497384417	2.77303418953992	4.79799819124667	4.79799819124667
pgprobsolve	~1			2.85529908795334	0.011322186416387	252.18619292655	0	2.83310801035097	2.87749016555571	2.85529908795334	4.71263717259718	4.71263717259718
SEacademic	~1			2.77787237745705	0.00963956489867594	288.174041739022	0	2.75897917742901	2.7967655774851	2.77787237745705	5.29682810213392	5.29682810213392
SEwellness	~1			2.61951222610223	0.0109871577683543	238.41581975341	0	2.5979777925838	2.64104665962067	2.61951222610223	4.40776711675757	4.40776711675757
SEnonacad	~1			2.55960988141852	0.0112082542128683	228.36829293895	0	2.53764210683173	2.58157765600531	2.55960988141852	4.19943518729729	4.19943518729729
